t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3
7.574884891510009766e-01,1.052925134562607725e-19,-1.570796326792018860e+00,1.269211872172925790e-11,1.913703725398178760e-19,4.085184679891286619e-12,1.762794097116874120e-11,-1.014734262321500741e-15,-1.478695981392525338e+00,-1.478695981282983185e+00
7.702229022979736328e-01,1.095432718116797015e-19,-1.570796326791978892e+00,1.286839814429556148e-11,-9.860580001957578632e-19,4.085182492560041914e-12,1.762794498237802309e-11,3.068969679515452355e-16,-1.478695981397439407e+00,-1.478695981286367367e+00
7.831809520721435547e-01,1.083548826087993706e-19,-1.570796326791938924e+00,1.304467758040455005e-11,-2.994767211940345448e-19,4.085182991318793878e-12,1.762794452180283697e-11,1.142392952805191225e-16,-1.478695981402338600e+00,-1.478695981289744221e+00
7.953274250030517578e-01,1.102939150641884904e-19,-1.570796326791898956e+00,1.322095700534846636e-11,8.919641961313531862e-19,4.085186175919003817e-12,1.762794284408438043e-11,-1.544892119918433515e-15,-1.478695981407230020e+00,-1.478695981293119299e+00
8.060295581817626953e-01,1.112785987966927566e-19,-1.570796326791858988e+00,1.339723644917922311e-11,8.468588960133982511e-19,4.085183455258079121e-12,1.762794259728448843e-11,-4.347088809714495873e-16,-1.478695981412140315e+00,-1.478695981296501483e+00
8.193342685699462891e-01,1.134829246900334770e-19,-1.570796326791819020e+00,1.357351587482541253e-11,7.185990244030922833e-19,4.085183968555979532e-12,1.762794093916411841e-11,1.851222707993935040e-16,-1.478695981417049055e+00,-1.478695981299883000e+00
8.327467441558837891e-01,1.149420007580816977e-19,-1.570796326791779052e+00,1.374979529535543978e-11,-5.852111237295494638e-19,4.085182599863361772e-12,1.762794020550454591e-11,8.858666003690758289e-16,-1.478695981421956018e+00,-1.478695981303263851e+00
8.443746566772460938e-01,1.142753857583145078e-19,-1.570796326791739084e+00,1.392607471957056312e-11,8.151258126221565498e-19,4.085185181848710469e-12,1.762794174380952318e-11,-1.040220161071663734e-15,-1.478695981426844774e+00,-1.478695981306637375e+00
8.613114356994628906e-01,1.187641429272059795e-19,-1.570796326791699116e+00,1.410235414654345977e-11,3.612223741128339574e-20,4.085182399874035033e-12,1.762794522456181106e-11,7.529436087232208393e-16,-1.478695981431758621e+00,-1.478695981310020224e+00
8.764617443084716797e-01,1.201699472123671944e-19,-1.570796326791659148e+00,1.427863357911734336e-11,-5.385508234186035710e-19,4.085181665677613432e-12,1.762794314206075109e-11,1.288659481074221886e-15,-1.478695981436664919e+00,-1.478695981313400853e+00
8.852620124816894531e-01,1.226494617111242370e-19,-1.570796326791619180e+00,1.445491299761656627e-11,-1.102834917019169673e-18,4.085182331691546123e-12,1.762794235310170864e-11,7.098497427094874708e-16,-1.478695981441564999e+00,-1.478695981316779040e+00
8.979520797729492188e-01,1.237512753933017275e-19,-1.570796326791579212e+00,1.463119242977705020e-11,-5.765884944734815358e-19,4.085182398894042496e-12,1.762794371325689756e-11,2.988061776106157682e-18,-1.478695981446462415e+00,-1.478695981320156339e+00
9.152631759643554688e-01,1.235186342028073757e-19,-1.570796326791539244e+00,1.480747186123206377e-11,-1.244384587390243692e-19,4.085183342587772343e-12,1.762794531466570662e-11,-3.836760920275932778e-16,-1.478695981451360941e+00,-1.478695981323533193e+00
9.274041652679443359e-01,1.250727903775366615e-19,-1.570796326791499276e+00,1.498375129392629730e-11,9.301860368493528087e-19,4.085185121014975708e-12,1.762794049109219053e-11,5.362660186439452066e-16,-1.478695981456270570e+00,-1.478695981326915154e+00
9.381537437438964844e-01,1.228608668157293779e-19,-1.570796326791459308e+00,1.516003073856743902e-11,-5.615725850513009066e-19,4.085183672289512368e-12,1.762794669867526575e-11,-1.099554293769157985e-16,-1.478695981461169096e+00,-1.478695981330292897e+00
9.477527141571044922e-01,1.242850580487859776e-19,-1.570796326791419339e+00,1.533631017646988925e-11,-3.512343035216786117e-19,4.085183318423728002e-12,1.762794377603515299e-11,6.305817276401578713e-16,-1.478695981466077392e+00,-1.478695981333673970e+00
9.600324630737304688e-01,1.274278380139172884e-19,-1.570796326791379371e+00,1.551258960985202686e-11,-7.462940475156748683e-19,4.085182505424547863e-12,1.762794508537270454e-11,-1.221891523516912648e-16,-1.478695981470974585e+00,-1.478695981337050602e+00
9.710519313812255859e-01,1.310232093071580390e-19,-1.570796326791339403e+00,1.568886902909156349e-11,1.405692679998084331e-18,4.085185596862174527e-12,1.762793943700384490e-11,-5.533231017973339023e-16,-1.478695981475873111e+00,-1.478695981340428123e+00
9.811387062072753906e-01,1.378139212352194025e-19,-1.570796326791299435e+00,1.586514845928944348e-11,8.736488563083610298e-19,4.085184168200347722e-12,1.762794430435229538e-11,-8.347574814964658239e-16,-1.478695981480773858e+00,-1.478695981343806531e+00
9.911243915557861328e-01,1.389997743617144618e-19,-1.570796326791259467e+00,1.604142788602989914e-11,5.981426531186797531e-19,4.085184818681833453e-12,1.762794059595500123e-11,-4.804492703102474377e-16,-1.478695981485680377e+00,-1.478695981347187605e+00
1.003963947296142578e+00,1.480828039953556234e-19,-1.570796326791219499e+00,1.621770729915806385e-11,2.632163521329349661e-18,4.085185840949107182e-12,1.762793975310013679e-11,-2.195726633047679404e-16,-1.478695981490581568e+00,-1.478695981350565347e+00
1.015775203704833984e+00,1.550228631289623704e-19,-1.570796326791179531e+00,1.639398671530460092e-11,6.456625580681623318e-19,4.085185320299681082e-12,1.762794218488653715e-11,-7.932606331073835333e-16,-1.478695981495482759e+00,-1.478695981353944200e+00
1.025945663452148438e+00,1.541916782748122787e-19,-1.570796326791139563e+00,1.657026614034510996e-11,-1.787963952016379006e-19,4.085182758670122004e-12,1.762794121046813423e-11,1.135241929103259537e-15,-1.478695981500399048e+00,-1.478695981357328382e+00
1.037213325500488281e+00,1.573130444354306384e-19,-1.570796326791099595e+00,1.674654556230617420e-11,1.346739093649807402e-18,4.085185135795311927e-12,1.762793880438778342e-11,3.233760345683550981e-16,-1.478695981505294910e+00,-1.478695981360704570e+00
1.054348468780517578e+00,1.580966641130525113e-19,-1.570796326791059627e+00,1.692282498917107531e-11,-7.401509894848594578e-20,4.085182605848716284e-12,1.762794493479535339e-11,5.957840187383057839e-16,-1.478695981510200763e+00,-1.478695981364085421e+00
1.066803455352783203e+00,1.586161865564587642e-19,-1.570796326791019659e+00,1.709910442309002406e-11,2.420365205837950534e-18,4.085184548154877080e-12,1.762794037073388296e-11,-1.186096519442579762e-16,-1.478695981515096625e+00,-1.478695981367462053e+00
1.075868129730224609e+00,1.621422122559908467e-19,-1.570796326790979691e+00,1.727538384942195913e-11,4.083328731267168041e-19,4.085183560565580990e-12,1.762794194210636165e-11,8.052182924791938023e-16,-1.478695981520007585e+00,-1.478695981370844237e+00
1.086472272872924805e+00,1.653170331849340418e-19,-1.570796326790939723e+00,1.745166328024219236e-11,-7.155567017699426973e-19,4.085184427070194266e-12,1.762794343080430946e-11,1.031137456776073877e-17,-1.478695981524905001e+00,-1.478695981374220869e+00
1.097918510437011719e+00,1.688582931053504192e-19,-1.570796326790899755e+00,1.762794270509007170e-11,3.289532639521672561e-19,4.085183511261474924e-12,1.762794316918562542e-11,-3.049608087988906226e-17,-1.478695981529805747e+00,-1.478695981377598612e+00
1.107001066207885742e+00,1.731292165105357910e-19,-1.570796326790859787e+00,1.780422212703630486e-11,6.205385657801722766e-19,4.085185309169459453e-12,1.762794185017168276e-11,-5.992281795939973611e-16,-1.478695981534704496e+00,-1.478695981380976576e+00
1.117086410522460938e+00,1.747636788316414345e-19,-1.570796326790819819e+00,1.798050155721097855e-11,-5.325716848778768243e-19,4.085183608502321152e-12,1.762794285248342050e-11,1.018744260104079631e-16,-1.478695981539612792e+00,-1.478695981384358094e+00
1.126351356506347656e+00,1.745387491903312233e-19,-1.570796326790779851e+00,1.815678098939029861e-11,5.218494817995578633e-19,4.085184643220970966e-12,1.762794303877825925e-11,-5.125433693693061271e-16,-1.478695981544509763e+00,-1.478695981387734726e+00
1.136416673660278320e+00,1.718653211922268289e-19,-1.570796326790739883e+00,1.833306043110537616e-11,-5.706681443212796578e-20,4.085183412623710473e-12,1.762794545604989522e-11,-3.364822328575436018e-16,-1.478695981549413174e+00,-1.478695981391113801e+00
1.146757602691650391e+00,1.706899897065920807e-19,-1.570796326790699915e+00,1.850933985688607936e-11,2.321185516916283729e-19,4.085183494611603891e-12,1.762794347282626073e-11,-5.542923772855818334e-16,-1.478695981554314143e+00,-1.478695981394492209e+00
1.157036066055297852e+00,1.730000693681650690e-19,-1.570796326790659947e+00,1.868561929448657636e-11,9.369211312282477924e-19,4.085184502991126635e-12,1.762794295997380273e-11,-5.144410468015314534e-16,-1.478695981559217776e+00,-1.478695981397871950e+00
1.169640302658081055e+00,1.744073999930034873e-19,-1.570796326790619979e+00,1.886189871747784883e-11,2.204643391755453402e-18,4.085185482025349246e-12,1.762793860886818447e-11,3.224107419555644034e-16,-1.478695981564125850e+00,-1.478695981401253023e+00
1.183487176895141602e+00,1.779153813432204888e-19,-1.570796326790580011e+00,1.903817814442719668e-11,1.155989009634176263e-18,4.085183692726436773e-12,1.762794037557872828e-11,3.598829929555226968e-16,-1.478695981569028595e+00,-1.478695981404631654e+00
1.193092346191406250e+00,1.764493192138723685e-19,-1.570796326790540043e+00,1.921445756883133886e-11,-4.890392755609367903e-19,4.085183382220998866e-12,1.762794486906576599e-11,-1.422312373579428352e-16,-1.478695981573928453e+00,-1.478695981408010285e+00
1.202946901321411133e+00,1.781069860865624091e-19,-1.570796326790500075e+00,1.939073700325648660e-11,4.128041272459350874e-19,4.085185094123645802e-12,1.762794075626588682e-11,1.660203010972497359e-16,-1.478695981578833196e+00,-1.478695981411389804e+00
1.214547157287597656e+00,1.811776951814022298e-19,-1.570796326790460107e+00,1.956701641958641543e-11,8.197358997983451956e-19,4.085183385719093170e-12,1.762794061141245425e-11,3.061591781790072706e-16,-1.478695981583736385e+00,-1.478695981414769101e+00
1.225910902023315430e+00,1.840517232664408463e-19,-1.570796326790420139e+00,1.974329583442501516e-11,9.465749816739437180e-19,4.085183533586297713e-12,1.762794312545797927e-11,-1.425333760323780803e-17,-1.478695981588635133e+00,-1.478695981418145955e+00
